hvfhs_license_num,dispatching_base_num,originating_base_num,request_datetime,on_scene_datetime,pickup_datetime,dropoff_datetime,pulocationid,dolocationid,trip_miles,trip_time,base_passenger_fare,tolls,bcf,sales_tax,congestion_surcharge,airport_fee,tips,driver_pay,shared_request_flag,shared_match_flag,access_a_ride_flag,wav_request_flag,wav_match_flag,cbd_congestion_fee,pu_x,pu_y,do_x,do_y
HV0005,B03406,,2025-07-02 19:12:24,2025-07-02 19:13:24,2025-07-02 19:13:53,2025-07-02 19:28:06,66,209,3.265,853,16.8,0.0,0.34,1.21,2.75,0.0,0.0,13.27,N,N,N,N,N,0.0,987610.405927667,195797.3474214512,983137.8309900116,198986.02491331735
HV0003,B03404,B03404,2025-07-02 19:50:44,2025-07-02 19:52:44,2025-07-02 19:53:29,2025-07-02 20:04:53,87,45,1.19,684,11.3,0.0,0.24,0.98,2.75,0.0,0.0,8.56,N,N,N,N,N,1.5,982147.2007632692,195922.69058719883,984194.2647067562,199138.6737888769
HV0003,B03404,B03404,2025-07-02 18:48:59,2025-07-02 19:00:58,2025-07-02 19:01:12,2025-07-02 19:18:03,87,66,2.14,1011,13.03,0.0,0.29,1.15,2.75,0.0,0.0,13.21,N,N,N,N,N,1.5,982527.9429592466,197298.78414211675,987865.180879047,195948.37569781276
HV0003,B03404,B03404,2025-07-02 19:47:34,2025-07-02 19:50:51,2025-07-02 19:52:21,2025-07-02 20:04:14,87,66,1.95,714,12.22,0.0,0.28,1.11,2.75,0.0,0.0,10.48,N,N,N,N,N,1.5,980958.7736975328,196373.6634789336,988170.2231397274,194613.0580097033
HV0005,B03406,,2025-07-02 19:43:15,2025-07-02 19:48:39,2025-07-02 19:49:39,2025-07-02 20:01:13,33,209,2.877,694,14.88,0.0,0.35,1.23,2.75,0.0,5.18,11.11,N,N,N,N,N,1.5,985511.912394346,193141.7479556543,983853.9537337404,197391.6115216243
HV0003,B03404,B03404,2025-07-02 19:07:40,2025-07-02 19:11:13,2025-07-02 19:12:33,2025-07-02 19:22:17,45,209,1.11,584,11.93,0.0,0.26,1.04,2.75,0.0,0.0,10.45,N,N,N,N,N,1.5,984504.5961076878,198428.56524901305,982584.4538158008,197450.2017322304
HV0003,B03404,B03404,2025-07-02 19:23:16,2025-07-02 19:25:51,2025-07-02 19:27:08,2025-07-02 19:41:54,209,66,1.78,886,15.54,0.0,0.35,1.36,2.75,0.0,0.0,11.45,N,N,N,N,N,1.5,983597.6303248402,197376.6625133429,988719.0965881826,195054.07670839687
HV0003,B03404,B03404,2025-07-02 19:40:07,2025-07-02 19:42:03,2025-07-02 19:42:19,2025-07-02 19:52:58,66,87,2.24,640,16.4,0.0,0.38,1.47,2.75,0.0,0.0,9.61,N,N,N,N,N,1.5,988485.5732252744,194572.9057725127,981975.3636325976,196784.3537947755
HV0003,B03404,B03404,2025-07-02 19:07:28,2025-07-02 19:07:45,2025-07-02 19:08:13,2025-07-02 19:23:56,87,66,1.99,943,20.36,0.0,0.46,1.76,2.75,0.0,0.0,12.32,N,N,N,N,N,1.5,981495.561390382,197163.5753787852,987011.7371600246,196558.58098833976
HV0003,B03404,B03404,2025-07-02 19:29:46,2025-07-02 19:34:21,2025-07-02 19:34:58,2025-07-02 19:43:20,66,25,1.6,502,18.34,0.0,0.46,1.62,0.0,0.0,0.0,9.21,N,N,N,N,N,0.0,988340.8058551586,195589.8914666181,988073.1335541774,189553.34234084724
